Day,Date,Time,Charging Status,State of Charge,Battery Temperature (C),Battery Capacity (mAh),Charge Rate (mW), Time to Discharge, Battery Voltage (mV), Cycle Count, Battery Health (%)
3,01/01/1402,14:51:30,1,97,-21.160000000000025,50160,0,-2,12928,5,95.39748953974896
3,01/01/1402,14:56:48,1,97,-21.160000000000025,50160,0,-2,12928,5,95.39748953974896
3,01/01/1402,15:03:26,1,97,-20.160000000000025,50160,0,-2,12927,5,95.39748953974896
3,01/01/1402,15:05:50,1,97,-21.160000000000025,50160,0,-2,12927,5,95.39748953974896
3,01/01/1402,15:13:25,1,97,-21.160000000000025,50160,0,-2,12928,5,95.39748953974896
3,01/01/1402,15:14:57,1,97,-21.160000000000025,50160,0,-2,12928,5,95.39748953974896
3,01/01/1402,15:15:15,1,97,-22.160000000000025,50160,0,-2,12927,5,95.39748953974896
3,01/01/1402,15:16:47,1,97,-21.160000000000025,50160,0,-2,12927,5,95.39748953974896
3,01/01/1402,15:28:13,1,97,-22.160000000000025,50160,0,-2,12928,5,95.39748953974896
3,01/01/1402,15:31:29,1,97,-21.160000000000025,50160,0,-2,12927,5,95.39748953974896
3,01/01/1402,15:31:48,1,97,-21.160000000000025,50160,0,-2,12927,5,95.39748953974896
4,02/01/1402,12:01:09,1,96,-20.160000000000025,50240,0,-2,12922,5,95.54963864587296
4,02/01/1402,14:12:43,1,96,-21.160000000000025,50240,0,-2,12922,5,95.54963864587296
4,02/01/1402,14:17:21,857,1,96,[],-20.160000000000025,50240,0,-2,12922,5,95.54963864587296
4,02/01/1402,14:21:16,861,1,96,180,-19.160000000000025,50240,0,-2,12922,5,95.54963864587296
4,02/01/1402,14:22:56,862,1,96,180,-19.160000000000025,50240,0,-2,12922,5,95.54963864587296
4,02/01/1402,14:25:28,865,1,96,180,-20.160000000000025,50240,0,-2,12922,5,95.54963864587296
4,02/01/1402,14:28:51,868,1,96,180,-19.160000000000025,50240,0,-2,12922,5,95.54963864587296
4,02/01/1402,14:28:57,868,1,96,180,-20.160000000000025,50240,0,-2,12922,5,95.54963864587296
